replicate_id,train_strategy,test_strategy,augmentation,in_domain,n_train_simulations,relative_MAE_I,R2_I,MAE_I,R2_S,R2_R,R2_overall,MAE_S,MAE_R,RMSE,MSE,mean_peak_I,n_test_samples,model_path,training_epoch
1,LHS,MCMC,0,0,2800,7.4464,0.872102,62.611,0.96437,0.961351,0.998687,1092.9584,1111.6305,1587.3993,2519836.5,1230.08,600,experiments\lhs-sampling\out\results\testing\lhs_no_augmentation\trained models\best_balanced_mlp_model_1.pt,99
2,LHS,MCMC,0,0,2800,7.9941,0.875159,63.0137,0.965652,0.962675,0.998733,1107.8237,1124.719,1559.3707,2431637.0,1230.08,600,experiments\lhs-sampling\out\results\testing\lhs_no_augmentation\trained models\best_balanced_mlp_model_2.pt,96
3,LHS,MCMC,0,0,2800,7.4807,0.87152,63.108,0.963325,0.960889,0.998661,1066.7004,1080.6056,1603.4144,2570937.75,1230.08,600,experiments\lhs-sampling\out\results\testing\lhs_no_augmentation\trained models\best_balanced_mlp_model_3.pt,94
4,LHS,MCMC,0,0,2800,7.855,0.876122,63.193,0.964352,0.962022,0.998699,1080.5454,1094.2109,1580.3629,2497547.0,1230.08,600,experiments\lhs-sampling\out\results\testing\lhs_no_augmentation\trained models\best_balanced_mlp_model_4.pt,99
5,LHS,MCMC,0,0,2800,8.1147,0.87305,62.2733,0.964369,0.96167,0.998693,1104.3351,1120.1711,1584.0192,2509116.75,1230.08,600,experiments\lhs-sampling\out\results\testing\lhs_no_augmentation\trained models\best_balanced_mlp_model_5.pt,98
6,LHS,MCMC,0,0,2800,6.9547,0.86298,61.815,0.953779,0.951528,0.998328,1194.8998,1205.045,1791.4228,3209195.5,1230.08,600,experiments\lhs-sampling\out\results\testing\lhs_no_augmentation\trained models\best_balanced_mlp_model_6.pt,98
7,LHS,MCMC,0,0,2800,7.9063,0.869159,63.5295,0.961698,0.958998,0.998599,1139.7977,1154.5347,1640.028,2689691.75,1230.08,600,experiments\lhs-sampling\out\results\testing\lhs_no_augmentation\trained models\best_balanced_mlp_model_7.pt,100
8,LHS,MCMC,0,0,2800,8.0337,0.878295,62.8072,0.960924,0.958032,0.998569,1189.588,1204.4598,1657.3659,2746861.75,1230.08,600,experiments\lhs-sampling\out\results\testing\lhs_no_augmentation\trained models\best_balanced_mlp_model_8.pt,84
9,LHS,MCMC,0,0,2800,7.2409,0.882201,60.0206,0.953371,0.950882,0.998311,1240.0432,1251.1943,1800.474,3241706.5,1230.08,600,experiments\lhs-sampling\out\results\testing\lhs_no_augmentation\trained models\best_balanced_mlp_model_9.pt,97
10,LHS,MCMC,0,0,2800,8.316,0.880367,63.6232,0.963361,0.960798,0.998661,1161.8152,1175.8339,1603.5677,2571429.5,1230.08,600,experiments\lhs-sampling\out\results\testing\lhs_no_augmentation\trained models\best_balanced_mlp_model_10.pt,84
